

==========Samples: (1000, 500, 500) ===========
Pre-training layer 0, epoch 5, validation free energy -157.712258835
Pre-training layer 0, epoch 6, cost -106.165154241
Pre-training layer 0, epoch 7, cost -104.58068249
Pre-training layer 0, epoch 8, cost -103.277486125
Pre-training layer 0, epoch 9, cost -102.121987582
Pre-training layer 0, epoch 10, cost -101.09120711
Pre-training layer 0, epoch 10, representative training free energy -186.201008636
Pre-training layer 0, epoch 10, validation free energy -181.910430313
Pre-training layer 0, epoch 11, cost -100.137173228
Pre-training layer 0, epoch 12, cost -99.373319163
Pre-training layer 0, epoch 13, cost -98.6399711507
Pre-training layer 0, epoch 14, cost -97.9984076385
Pre-training layer 0, epoch 15, cost -97.3223336334
Pre-training layer 0, epoch 15, representative training free energy -205.118519791
Pre-training layer 0, epoch 15, validation free energy -200.646250137
Pre-training layer 0, epoch 16, cost -96.7649293493
Pre-training layer 0, epoch 17, cost -96.232767746
Pre-training layer 0, epoch 18, cost -95.6712565867
Pre-training layer 0, epoch 19, cost -95.2224517492
Pre-training layer 0, epoch 20, cost -94.7312451274
Pre-training layer 0, epoch 20, representative training free energy -219.008573914
Pre-training layer 0, epoch 20, validation free energy -214.263160645
Pre-training layer 0, epoch 21, cost -94.3659474309
Pre-training layer 0, epoch 22, cost -93.9179604289
Pre-training layer 0, epoch 23, cost -93.4799124196
Pre-training layer 0, epoch 24, cost -93.1331836599
Pre-training layer 0, epoch 25, cost -92.7725283585
Pre-training layer 0, epoch 25, representative training free energy -233.756253693
Pre-training layer 0, epoch 25, validation free energy -228.679361633
Pre-training layer 0, epoch 26, cost -92.4272068787
Pre-training layer 0, epoch 27, cost -92.1421821416
Pre-training layer 0, epoch 28, cost -91.8550902634
Pre-training layer 0, epoch 29, cost -91.4597518946
Pre-training layer 0, epoch 30, cost -91.1943017782
Pre-training layer 0, epoch 30, representative training free energy -246.233150238
Pre-training layer 0, epoch 30, validation free energy -241.500791473
Pre-training layer 0, epoch 31, cost -90.9341229248
Pre-training layer 0, epoch 32, cost -90.7371196365
Pre-training layer 0, epoch 33, cost -90.4167658895
Pre-training layer 0, epoch 34, cost -90.2067194417
Pre-training layer 0, epoch 35, cost -89.9498810705
Pre-training layer 0, epoch 35, representative training free energy -258.804086884
Pre-training layer 0, epoch 35, validation free energy -254.188821014
Pre-training layer 0, epoch 36, cost -89.6555891851
Pre-training layer 0, epoch 37, cost -89.4567869517
Pre-training layer 0, epoch 38, cost -89.3656337789
Pre-training layer 0, epoch 39, cost -89.0419489034
Pre-training layer 0, epoch 40, cost -88.8925589498
Pre-training layer 0, epoch 40, representative training free energy -269.277752014
Pre-training layer 0, epoch 40, validation free energy -264.406999786
Pre-training layer 0, epoch 41, cost -88.7106054967
Pre-training layer 0, epoch 42, cost -88.5390228882
Pre-training layer 0, epoch 43, cost -88.3900513458
Pre-training layer 0, epoch 44, cost -88.1503213984
Pre-training layer 0, epoch 45, cost -88.0751269964
Pre-training layer 0, epoch 45, representative training free energy -277.76975
Pre-training layer 0, epoch 45, validation free energy -272.471548248
Pre-training layer 0, epoch 46, cost -87.8657468363
Pre-training layer 0, epoch 47, cost -87.7071048075
Pre-training layer 0, epoch 48, cost -87.6083715057
Pre-training layer 0, epoch 49, cost -87.4481093648
Pre-training layer 0, epoch 50, cost -87.3002911682
Pre-training layer 0, epoch 50, representative training free energy -285.683919189
Pre-training layer 0, epoch 50, validation free energy -280.402961334
Pre-training layer 0, epoch 51, cost -87.2211223043
Pre-training layer 0, epoch 52, cost -87.0774610316
Pre-training layer 0, epoch 53, cost -86.9476028239
Pre-training layer 0, epoch 54, cost -86.9143357239
Pre-training layer 0, epoch 55, cost -86.7546657715
Pre-training layer 0, epoch 55, representative training free energy -293.23725
Pre-training layer 0, epoch 55, validation free energy -288.090815186
Pre-training layer 0, epoch 56, cost -86.6396059316
Pre-training layer 0, epoch 57, cost -86.5859830602
Pre-training layer 0, epoch 58, cost -86.4593520075
Pre-training layer 0, epoch 59, cost -86.3949566371
Pre-training layer 0, epoch 60, cost -86.2858914719
Pre-training layer 0, epoch 60, representative training free energy -300.155259857
Pre-training layer 0, epoch 60, validation free energy -294.551965576
Pre-training layer 0, epoch 61, cost -86.2169922485
Pre-training layer 0, epoch 62, cost -86.0840582962
Pre-training layer 0, epoch 63, cost -86.0589033305
Pre-training layer 0, epoch 64, cost -86.0023253148
Pre-training layer 0, epoch 65, cost -85.8703444316
Pre-training layer 0, epoch 65, representative training free energy -303.614865387
Pre-training layer 0, epoch 65, validation free energy -298.045008118
Pre-training layer 0, epoch 66, cost -85.8428876241
Pre-training layer 0, epoch 67, cost -85.7782060725
Pre-training layer 0, epoch 68, cost -85.6339596837
Pre-training layer 0, epoch 69, cost -85.6083530604
Pre-training layer 0, epoch 70, cost -85.4994368312
Pre-training layer 0, epoch 70, representative training free energy -308.491126434
Pre-training layer 0, epoch 70, validation free energy -302.935502045
Pre-training layer 0, epoch 71, cost -85.4420345815
Pre-training layer 0, epoch 72, cost -85.3407513835
Pre-training layer 0, epoch 73, cost -85.2520746511
Pre-training layer 0, epoch 74, cost -85.3004403483
Pre-training layer 0, epoch 75, cost -85.1806918538
Pre-training layer 0, epoch 75, representative training free energy -312.859041534
Pre-training layer 0, epoch 75, validation free energy -307.09304718
Pre-training layer 0, epoch 76, cost -85.114841629
Pre-training layer 0, epoch 77, cost -85.0489628754
Pre-training layer 0, epoch 78, cost -85.056088824
Pre-training layer 0, epoch 79, cost -84.9725878779
Pre-training layer 0, epoch 80, cost -84.9502182007
Pre-training layer 0, epoch 80, representative training free energy -317.952776093
Pre-training layer 0, epoch 80, validation free energy -312.055471405
Pre-training layer 0, epoch 81, cost -84.8815398839
Pre-training layer 0, epoch 82, cost -84.7920368398
Pre-training layer 0, epoch 83, cost -84.7160410639
Pre-training layer 0, epoch 84, cost -84.7139672394
Pre-training layer 0, epoch 85, cost -84.7001079788
Pre-training layer 0, epoch 85, representative training free energy -319.238270721
Pre-training layer 0, epoch 85, validation free energy -313.473628448
Pre-training layer 0, epoch 86, cost -84.5979588394
Pre-training layer 0, epoch 87, cost -84.5717919896
Pre-training layer 0, epoch 88, cost -84.4538642909
Pre-training layer 0, epoch 89, cost -84.4234344279
Pre-training layer 0, epoch 90, cost -84.3823594004
Pre-training layer 0, epoch 90, representative training free energy -324.303569946
Pre-training layer 0, epoch 90, validation free energy -318.440183929
Pre-training layer 0, epoch 91, cost -84.3702336553
Pre-training layer 0, epoch 92, cost -84.3005447973
Pre-training layer 0, epoch 93, cost -84.2615075887
Pre-training layer 0, epoch 94, cost -84.2327620341
Pre-training layer 0, epoch 95, cost -84.1878916499
Pre-training layer 0, epoch 95, representative training free energy -326.799330994
Pre-training layer 0, epoch 95, validation free energy -321.011211334
Pre-training layer 0, epoch 96, cost -84.1359766363
Pre-training layer 0, epoch 97, cost -84.0735833232
Pre-training layer 0, epoch 98, cost -84.0170495758
Pre-training layer 0, epoch 99, cost -84.0057768275
Pre-training layer 1, epoch 0, cost -44.754231809
Pre-training layer 1, epoch 0, representative training free energy -6180.85718384
Pre-training layer 1, epoch 0, validation free energy -6131.45275879
Pre-training layer 1, epoch 1, cost -36.0537618497
Pre-training layer 1, epoch 2, cost -33.5557734184
Pre-training layer 1, epoch 3, cost -32.0950261141
Pre-training layer 1, epoch 4, cost -31.1063799197
Pre-training layer 1, epoch 5, cost -30.3754200719
Pre-training layer 1, epoch 5, representative training free energy -8235.46846143
Pre-training layer 1, epoch 5, validation free energy -8170.34896191
Pre-training layer 1, epoch 6, cost -29.8139033648
Pre-training layer 1, epoch 7, cost -29.3455664228
Pre-training layer 1, epoch 8, cost -28.9238988775
Pre-training layer 1, epoch 9, cost -28.5842718925
Pre-training layer 1, epoch 10, cost -28.2826527138
Pre-training layer 1, epoch 10, representative training free energy -9041.12449756
Pre-training layer 1, epoch 10, validation free energy -8966.67203467
Pre-training layer 1, epoch 11, cost -28.0096197955
Pre-training layer 1, epoch 12, cost -27.7700791766
Pre-training layer 1, epoch 13, cost -27.5908037364
Pre-training layer 1, epoch 14, cost -27.3956836675
Pre-training layer 1, epoch 15, cost -27.2249941177
Pre-training layer 1, epoch 15, representative training free energy -9499.34267725
Pre-training layer 1, epoch 15, validation free energy -9416.33946191
Pre-training layer 1, epoch 16, cost -27.0490639305
Pre-training layer 1, epoch 17, cost -26.9189301084
Pre-training layer 1, epoch 18, cost -26.7473344218
Pre-training layer 1, epoch 19, cost -26.6202384071
Pre-training layer 1, epoch 20, cost -26.4897392667
Pre-training layer 1, epoch 20, representative training free energy -9908.66530615
Pre-training layer 1, epoch 20, validation free energy -9829.21308447
Pre-training layer 1, epoch 21, cost -26.3629800542
Pre-training layer 1, epoch 22, cost -26.2782965228
Pre-training layer 1, epoch 23, cost -26.193915582
Pre-training layer 1, epoch 24, cost -26.1127846222
Pre-training layer 1, epoch 25, cost -25.9850498848
Pre-training layer 1, epoch 25, representative training free energy -10246.8497104
Pre-training layer 1, epoch 25, validation free energy -10164.212958
Pre-training layer 1, epoch 26, cost -25.9333397649
Pre-training layer 1, epoch 27, cost -25.8536028557
Pre-training layer 1, epoch 28, cost -25.7830962944
Pre-training layer 1, epoch 29, cost -25.7065184059
Pre-training layer 1, epoch 30, cost -25.6306929398
Pre-training layer 1, epoch 30, representative training free energy -10513.769106
Pre-training layer 1, epoch 30, validation free energy -10430.6712085
Pre-training layer 1, epoch 31, cost -25.5643155085
Pre-training layer 1, epoch 32, cost -25.4667582232
Pre-training layer 1, epoch 33, cost -25.3649698639
Pre-training layer 1, epoch 34, cost -25.3636492259
Pre-training layer 1, epoch 35, cost -25.285518692
Pre-training layer 1, epoch 35, representative training free energy -10790.1087036
Pre-training layer 1, epoch 35, validation free energy -10704.946084
Pre-training layer 1, epoch 36, cost -25.2746212769
Pre-training layer 1, epoch 37, cost -25.2415854823
Pre-training layer 1, epoch 38, cost -25.151739371
Pre-training layer 1, epoch 39, cost -25.1089800491
Pre-training layer 1, epoch 40, cost -25.0504094887
Pre-training layer 1, epoch 40, representative training free energy -11013.7518735
Pre-training layer 1, epoch 40, validation free energy -10929.7634028
Pre-training layer 1, epoch 41, cost -24.9812785988
Pre-training layer 1, epoch 42, cost -24.9804168536
Pre-training layer 1, epoch 43, cost -24.8868359718
Pre-training layer 1, epoch 44, cost -24.889759922
Pre-training layer 1, epoch 45, cost -24.8352155393
Pre-training layer 1, epoch 45, representative training free energy -11187.1923042
Pre-training layer 1, epoch 45, validation free energy -11104.1070244
Pre-training layer 1, epoch 46, cost -24.769999129
Pre-training layer 1, epoch 47, cost -24.7691414591
Pre-training layer 1, epoch 48, cost -24.7328220596
Pre-training layer 1, epoch 49, cost -24.6704803009
Pre-training layer 1, epoch 50, cost -24.6343897069
Pre-training layer 1, epoch 50, representative training free energy -11350.6419546
Pre-training layer 1, epoch 50, validation free energy -11265.2438032
Pre-training layer 1, epoch 51, cost -24.5984559453
Pre-training layer 1, epoch 52, cost -24.5582461243
Pre-training layer 1, epoch 53, cost -24.5253966789
Pre-training layer 1, epoch 54, cost -24.5350638186
Pre-training layer 1, epoch 55, cost -24.48564534
Pre-training layer 1, epoch 55, representative training free energy -11544.3071245
Pre-training layer 1, epoch 55, validation free energy -11459.039439
Pre-training layer 1, epoch 56, cost -24.4675592804
Pre-training layer 1, epoch 57, cost -24.4306835187
Pre-training layer 1, epoch 58, cost -24.3675220947
Pre-training layer 1, epoch 59, cost -24.3632159742
Pre-training layer 1, epoch 60, cost -24.3455535444
Pre-training layer 1, epoch 60, representative training free energy -11701.3621465
Pre-training layer 1, epoch 60, validation free energy -11612.3397813
Pre-training layer 1, epoch 61, cost -24.3046457799
Pre-training layer 1, epoch 62, cost -24.2708705457
Pre-training layer 1, epoch 63, cost -24.2693738581
Pre-training layer 1, epoch 64, cost -24.2444510498
Pre-training layer 1, epoch 65, cost -24.1821302261
Pre-training layer 1, epoch 65, representative training free energy -11788.982082
Pre-training layer 1, epoch 65, validation free energy -11703.2919619
Pre-training layer 1, epoch 66, cost -24.1876372134
Pre-training layer 1, epoch 67, cost -24.1468828252
Pre-training layer 1, epoch 68, cost -24.1207983195
Pre-training layer 1, epoch 69, cost -24.092337546
Pre-training layer 1, epoch 70, cost -24.072358518
Pre-training layer 1, epoch 70, representative training free energy -11968.4495918
Pre-training layer 1, epoch 70, validation free energy -11878.5607036
Pre-training layer 1, epoch 71, cost -24.0465575651
Pre-training layer 1, epoch 72, cost -24.0532264252
Pre-training layer 1, epoch 73, cost -24.0433425051
Pre-training layer 1, epoch 74, cost -23.9738962339
Pre-training layer 1, epoch 75, cost -23.9558349851
Pre-training layer 1, epoch 75, representative training free energy -12045.6343872
Pre-training layer 1, epoch 75, validation free energy -11951.7321636
Pre-training layer 1, epoch 76, cost -23.9493495585
Pre-training layer 1, epoch 77, cost -23.9404674886
Pre-training layer 1, epoch 78, cost -23.9150198924
Pre-training layer 1, epoch 79, cost -23.8908806496
Pre-training layer 1, epoch 80, cost -23.8717630577
Pre-training layer 1, epoch 80, representative training free energy -12186.211855
Pre-training layer 1, epoch 80, validation free energy -12091.4356562
Pre-training layer 1, epoch 81, cost -23.8679262594
Pre-training layer 1, epoch 82, cost -23.815039135
Pre-training layer 1, epoch 83, cost -23.8186770706
Pre-training layer 1, epoch 84, cost -23.7983297145
Pre-training layer 1, epoch 85, cost -23.783915006
Pre-training layer 1, epoch 85, representative training free energy -12259.646814
Pre-training layer 1, epoch 85, validation free energy -12159.1353047
Pre-training layer 1, epoch 86, cost -23.7164795977
Pre-training layer 1, epoch 87, cost -23.7177923762
Pre-training layer 1, epoch 88, cost -23.6800572573
Pre-training layer 1, epoch 89, cost -23.708398229
Pre-training layer 1, epoch 90, cost -23.6777108828
Pre-training layer 1, epoch 90, representative training free energy -12400.3773145
Pre-training layer 1, epoch 90, validation free energy -12299.1530112
Pre-training layer 1, epoch 91, cost -23.6470740267
Pre-training layer 1, epoch 92, cost -23.6551472321
Pre-training layer 1, epoch 93, cost -23.6252235883
Pre-training layer 1, epoch 94, cost -23.6098685303
Pre-training layer 1, epoch 95, cost -23.585548111
Pre-training layer 1, epoch 95, representative training free energy -12460.0656069
Pre-training layer 1, epoch 95, validation free energy -12357.0735806
Pre-training layer 1, epoch 96, cost -23.575223863
Pre-training layer 1, epoch 97, cost -23.5353760757
Pre-training layer 1, epoch 98, cost -23.5695780182
Pre-training layer 1, epoch 99, cost -23.5203217341
Pre-training layer 2, epoch 0, cost -34.308792244
Pre-training layer 2, epoch 0, representative training free energy -23586.2371055
Pre-training layer 2, epoch 0, validation free energy -23189.0564063
Pre-training layer 2, epoch 1, cost -27.2751634394
Pre-training layer 2, epoch 2, cost -25.368876915
Pre-training layer 2, epoch 3, cost -24.3753438091
Pre-training layer 2, epoch 4, cost -23.7340877876
Pre-training layer 2, epoch 5, cost -23.2936008606
Pre-training layer 2, epoch 5, representative training free energy -29013.5587891
Pre-training layer 2, epoch 5, validation free energy -28337.676127
Pre-training layer 2, epoch 6, cost -22.9514218858
Pre-training layer 2, epoch 7, cost -22.6464434992
Pre-training layer 2, epoch 8, cost -22.4431319904
Pre-training layer 2, epoch 9, cost -22.2591245022
Pre-training layer 2, epoch 10, cost -22.1049053148
Pre-training layer 2, epoch 10, representative training free energy -30640.9000254
Pre-training layer 2, epoch 10, validation free energy -29899.2013184
Pre-training layer 2, epoch 11, cost -21.9473746853
Pre-training layer 2, epoch 12, cost -21.8463877767
Pre-training layer 2, epoch 13, cost -21.7616094844
Pre-training layer 2, epoch 14, cost -21.643816239
Pre-training layer 2, epoch 15, cost -21.577630043
Pre-training layer 2, epoch 15, representative training free energy -31572.2743066
Pre-training layer 2, epoch 15, validation free energy -30738.179377
Pre-training layer 2, epoch 16, cost -21.4994898682
Pre-training layer 2, epoch 17, cost -21.4138161634
Pre-training layer 2, epoch 18, cost -21.3678342978
Pre-training layer 2, epoch 19, cost -21.2907389984
Pre-training layer 2, epoch 20, cost -21.2464498062
Pre-training layer 2, epoch 20, representative training free energy -32102.0101582
Pre-training layer 2, epoch 20, validation free energy -31237.6811719
Pre-training layer 2, epoch 21, cost -21.1483490219
Pre-training layer 2, epoch 22, cost -21.1555658226
Pre-training layer 2, epoch 23, cost -21.1016618741
Pre-training layer 2, epoch 24, cost -21.0799386559
Pre-training layer 2, epoch 25, cost -21.0369415506
Pre-training layer 2, epoch 25, representative training free energy -32829.728334
Pre-training layer 2, epoch 25, validation free energy -31957.316291
Pre-training layer 2, epoch 26, cost -20.9813416704
Pre-training layer 2, epoch 27, cost -20.9325104135
Pre-training layer 2, epoch 28, cost -20.9192948252
Pre-training layer 2, epoch 29, cost -20.888436807
Pre-training layer 2, epoch 30, cost -20.82792578
Pre-training layer 2, epoch 30, representative training free energy -33618.5478418
Pre-training layer 2, epoch 30, validation free energy -32731.4485742
Pre-training layer 2, epoch 31, cost -20.823270497
Pre-training layer 2, epoch 32, cost -20.8014911601
Pre-training layer 2, epoch 33, cost -20.7851554724
Pre-training layer 2, epoch 34, cost -20.7340567671
Pre-training layer 2, epoch 35, cost -20.7007134107
Pre-training layer 2, epoch 35, representative training free energy -34074.0755273
Pre-training layer 2, epoch 35, validation free energy -33150.6667988
Pre-training layer 2, epoch 36, cost -20.7139789461
Pre-training layer 2, epoch 37, cost -20.6685661939
Pre-training layer 2, epoch 38, cost -20.6589642982
Pre-training layer 2, epoch 39, cost -20.618560304
Pre-training layer 2, epoch 40, cost -20.6193942992
Pre-training layer 2, epoch 40, representative training free energy -34484.9194121
Pre-training layer 2, epoch 40, validation free energy -33610.7053125
Pre-training layer 2, epoch 41, cost -20.5595954933
Pre-training layer 2, epoch 42, cost -20.5726148917
Pre-training layer 2, epoch 43, cost -20.5489430936
Pre-training layer 2, epoch 44, cost -20.5089801299
Pre-training layer 2, epoch 45, cost -20.4906838716
Pre-training layer 2, epoch 45, representative training free energy -34959.3646152
Pre-training layer 2, epoch 45, validation free energy -34066.4160937
Pre-training layer 2, epoch 46, cost -20.4798900153
Pre-training layer 2, epoch 47, cost -20.4650601692
Pre-training layer 2, epoch 48, cost -20.4682948221
Pre-training layer 2, epoch 49, cost -20.4630729033
Pre-training layer 2, epoch 50, cost -20.423899704
Pre-training layer 2, epoch 50, representative training free energy -35317.5207734
Pre-training layer 2, epoch 50, validation free energy -34453.9376602
Pre-training layer 2, epoch 51, cost -20.4232304471
Pre-training layer 2, epoch 52, cost -20.3729005438
Pre-training layer 2, epoch 53, cost -20.4069519259
Pre-training layer 2, epoch 54, cost -20.3778981838
Pre-training layer 2, epoch 55, cost -20.3917425607
Pre-training layer 2, epoch 55, representative training free energy -35818.0777344
Pre-training layer 2, epoch 55, validation free energy -34967.8342324
Pre-training layer 2, epoch 56, cost -20.3524450741
Pre-training layer 2, epoch 57, cost -20.3396831029
Pre-training layer 2, epoch 58, cost -20.3113855813
Pre-training layer 2, epoch 59, cost -20.3170928656
Pre-training layer 2, epoch 60, cost -20.3186872457
Pre-training layer 2, epoch 60, representative training free energy -35807.4221309
Pre-training layer 2, epoch 60, validation free energy -34966.5248691
Pre-training layer 2, epoch 61, cost -20.2873796927
Pre-training layer 2, epoch 62, cost -20.2736893419
Pre-training layer 2, epoch 63, cost -20.2371303107
Pre-training layer 2, epoch 64, cost -20.2689639708
Pre-training layer 2, epoch 65, cost -20.2392406286
Pre-training layer 2, epoch 65, representative training free energy -36056.9495313
Pre-training layer 2, epoch 65, validation free energy -35236.0691504
Pre-training layer 2, epoch 66, cost -20.221497598
Pre-training layer 2, epoch 67, cost -20.2303146865
Pre-training layer 2, epoch 68, cost -20.2345417131
Pre-training layer 2, epoch 69, cost -20.1848685805
Pre-training layer 2, epoch 70, cost -20.1796964855
Pre-training layer 2, epoch 70, representative training free energy -36331.1127109
Pre-training layer 2, epoch 70, validation free energy -35500.4879043
Pre-training layer 2, epoch 71, cost -20.1424300944
Pre-training layer 2, epoch 72, cost -20.173301103
Pre-training layer 2, epoch 73, cost -20.1534519107
Pre-training layer 2, epoch 74, cost -20.1674729449
Pre-training layer 2, epoch 75, cost -20.1366887131
Pre-training layer 2, epoch 75, representative training free energy -36602.9771016
Pre-training layer 2, epoch 75, validation free energy -35797.7538906
Pre-training layer 2, epoch 76, cost -20.1128727118
Pre-training layer 2, epoch 77, cost -20.1311892503
Pre-training layer 2, epoch 78, cost -20.1100834503
Pre-training layer 2, epoch 79, cost -20.1010458698
Pre-training layer 2, epoch 80, cost -20.1330296357
Pre-training layer 2, epoch 80, representative training free energy -36862.8131875
Pre-training layer 2, epoch 80, validation free energy -36085.2399531
Pre-training layer 2, epoch 81, cost -20.0958785667
Pre-training layer 2, epoch 82, cost -20.0754211229
Pre-training layer 2, epoch 83, cost -20.0931586901
Pre-training layer 2, epoch 84, cost -20.0483176874
Pre-training layer 2, epoch 85, cost -20.0208269068
Pre-training layer 2, epoch 85, representative training free energy -37214.9889883
Pre-training layer 2, epoch 85, validation free energy -36448.8020313
Pre-training layer 2, epoch 86, cost -20.0390390828
Pre-training layer 2, epoch 87, cost -20.0605434195
Pre-training layer 2, epoch 88, cost -20.0147669589
Pre-training layer 2, epoch 89, cost -20.0388726247
Pre-training layer 2, epoch 90, cost -20.0370701313
Pre-training layer 2, epoch 90, representative training free energy -37473.374248
Pre-training layer 2, epoch 90, validation free energy -36720.1157598
Pre-training layer 2, epoch 91, cost -20.0239963563
Pre-training layer 2, epoch 92, cost -20.0092694759
Pre-training layer 2, epoch 93, cost -20.0040908451
Pre-training layer 2, epoch 94, cost -19.995076273
Pre-training layer 2, epoch 95, cost -19.9895657399
Pre-training layer 2, epoch 95, representative training free energy -37931.4538223
Pre-training layer 2, epoch 95, validation free energy -37178.6217051
Pre-training layer 2, epoch 96, cost -19.9922873904
Pre-training layer 2, epoch 97, cost -19.9810328541
Pre-training layer 2, epoch 98, cost -19.964933094
Pre-training layer 2, epoch 99, cost -19.9588587106
The pretraining code for file dbn_loop.pyc ran for 3.58m... getting the finetuning functions... finetuning the model
epoch 1, minibatch 1500/1500, validation error 10.800000 %
     epoch 1, minibatch 1500/1500, test error of best model 7.400000 %
epoch 2, minibatch 1500/1500, validation error 9.000000 %
     epoch 2, minibatch 1500/1500, test error of best model 6.600000 %
epoch 3, minibatch 1500/1500, validation error 8.200000 %
     epoch 3, minibatch 1500/1500, test error of best model 6.600000 %
epoch 4, minibatch 1500/1500, validation error 8.600000 %
epoch 5, minibatch 1500/1500, validation error 8.600000 %
Optimization complete with best validation score of 8.200000 %, obtained at iteration 4500, with test performance 6.600000 %
The fine tuning code for file dbn_loop.pyc ran for 0.05m
